#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-05-29T19:33:31 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60b296d3281370	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:I/239&tab:{I/239/hip_main}&key:source=I/239/hip_main&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=I/239/hip_main
#-order=I
#-out=HIP
#-out=Vmag
#-out=Plx
#-out=B-V
#-out=SpType
#HIPep=HIPep
#Erratum=Erratum
#

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	SpType	(a12)	Spectral type (H76)	[ucd=src.spType]
HIP;Vmag;Plx;B-V;SpType
   571;10.24;   3.82; 0.402;F2/F3V
   572; 8.83;   2.00; 1.114;G5
   573; 7.62;   3.73; 0.955;G8III
   574; 8.96;   4.04; 0.446;F3IV/V
   575;10.41;   2.89; 0.510;B8
   576; 8.97;   3.75; 0.050;A
   577; 9.61;  15.97; 0.761;G5
   578; 8.29;   8.40; 0.387;F0
   579; 8.30;   0.43; 1.552;M...
   580; 8.26;   4.01; 0.494;F5
   581; 7.44;   7.12; 0.203;A5
   582; 9.52;   4.40; 0.190;A0V
   583; 8.20;   4.41; 0.295;A3
   584; 8.68;   7.89; 0.529;F5V
   585; 8.65;   4.33; 0.061;A1V
   586;10.52;   6.74; 0.512;G0
   587; 8.41;   5.14; 0.405;F3V
   588; 9.18;   5.85; 0.333;F2
   589; 8.42;   4.84; 0.345;A3
   590; 8.86;   3.28; 1.552;M5
   591; 7.92;   4.03; 1.054;K0
   592;10.97;  -0.66; 0.330;
   593; 8.85;   4.19; 0.323;A3
   594; 9.31;   6.51; 0.226;A9V
   595;10.28;   6.34; 0.503;F3V
   596; 7.56;  11.92; 0.419;F5IV-V
   597; 7.88;   4.23; 0.407;F2
   598; 7.99;   3.54; 1.441;K0
   599; 8.23;  17.18; 0.599;F8/G0V
   600; 8.52;   2.20; 1.084;K1III
   601; 9.14;  17.98; 0.740;G5
   602; 6.20;   6.24; 0.133;A2IV/V
   603; 7.64;   5.87; 0.493;F5
   604; 8.95;   8.23; 0.653;G0
   605; 7.48;   2.87; 1.532;K5III
   606; 7.06;  20.63; 0.463;F5V
   607; 7.33;   9.37; 1.011;K1IV
   608; 8.98;   1.52; 0.739;G5
   609; 8.24;   7.19; 0.271;A6:m...
   611; 8.53;   7.21; 0.909;K0V
   610; 8.40;   2.19; 1.014;G8III
   612; 7.48;   7.51; 0.466;F5IV/V
   613; 8.46;   1.63; 1.590;K0
   614; 9.29;   2.41; 1.010;K0
   615; 8.57;   5.48; 0.249;A5
   616; 8.70;  30.76; 0.798;K0V
   617; 8.50;  10.08; 0.451;F5
   618; 8.37;   8.86; 0.595;F7V
   619; 6.87;   6.05; 1.124;G5
   621; 7.50;   2.50; 1.703;M1III
   620; 7.39;   2.53;-0.018;B9IV
   624; 8.19;   8.21; 0.584;F8/G0V
   622; 7.56;   2.74; 0.900;G5
   623; 8.37;   9.73; 0.379;F0
   625; 7.39;   5.37; 1.008;K0
   626; 6.73;  10.14; 0.951;G5
   627; 8.66;   2.38; 0.790;G3III
   628; 8.25;   2.89; 0.170;A0
   629; 8.47;   3.33; 0.953;G5
   630; 8.01;   9.58; 0.456;F5
   631; 6.83;   7.84; 1.158;K1/K2III
   632; 9.06;   1.60; 1.074;M2III:
   633; 8.79;   4.21; 1.127;K2III
   634; 7.44;   7.19; 0.478;F5
   635; 6.43;   6.69;-0.146;B8IIIsp...
   636; 5.93;  12.45; 0.141;A1V
   637; 8.85;   4.31; 1.196;K0
   638; 9.86;   4.43; 0.244;A2
   639; 8.55;   7.06; 0.964;G5
   640; 7.66;   5.76; 0.181;A3
   641; 7.82;  21.83; 0.610;G0
   642; 9.08;  11.55; 0.595;G0
   643;10.10;   5.57; 0.570;F8
   644; 8.21;   3.50; 1.087;K0/K1III
   645; 8.85;   7.79; 0.631;G3:V: + G2:
   647; 7.79;   1.17; 1.450;K3III
   646; 7.58;   3.64; 1.271;K1IV
   649; 7.85;  10.66; 0.505;F5V
   648; 7.18;   8.95; 0.156;A3V
   650; 7.54;   3.83; 0.408;F2
   651; 9.72;   6.43; 0.434;F3/F5V
   652; 7.12;   8.19; 0.184;A5
   653; 9.77;   6.67; 0.306;A8/A9V
   654; 8.84;   4.37; 1.042;K0III
   655; 5.67;  10.02; 1.119;K1III
   656; 8.15;   9.77; 0.617;F8
   657; 9.61;   3.92; 0.961;G5
   658; 8.19;   3.44; 1.079;G5
   659; 7.27;   4.90; 0.207;A3
   660; 8.51;   3.26; 0.215;A0
   661; 8.36;   2.42; 1.113;K1IIICN...
   663;10.00;   4.93; 0.550;G0
   662; 8.74;   1.92; 1.227;K2III
   664; 6.18;   3.25; 1.366;K2III
   665;10.26;   7.53; 0.730;G0
   666;10.16;   5.68; 0.393;F5V
   667; 8.31;   4.08; 1.053;K0
   668; 8.58;   3.46; 0.915;G5
   669; 7.04;  36.18; 0.624;G2/G3V
   670; 8.81;   3.75; 0.310;A2
   671; 5.99;   9.79; 1.034;G8III:
   673; 8.22;   3.50; 1.064;K1III
   674; 9.86;   7.73; 0.789;K0V
   675; 8.00;   2.84; 1.193;G5
   676; 9.40;  10.70; 0.570;G0
   678; 9.10;   3.83; 1.169;K1IV
   677; 2.07;  33.60;-0.038;B9p
   679; 8.11;   2.18; 0.098;A0
   680; 8.89;   2.80; 1.179;K1III
   681; 9.43;   1.52; 0.470;F2V
   682; 7.59;  25.15; 0.626;G2V
   683; 8.72;   2.88; 0.071;A0
   684; 9.86;   2.30; 0.157;A3III
   685; 9.23;   0.65; 0.988;K0III
   686; 9.50;   5.59; 0.493;G:III/IV+..
   687;10.73;  45.64; 1.460;M0
   688; 7.59;   7.60; 0.508;F3/F5V
   689; 7.41;  12.72; 0.606;F8
   690; 9.26;  11.01; 0.675;G3/G5IV/V
   691; 7.78;  14.43; 0.358;F5
   692; 7.76;   2.77; 1.618;K2
   693; 8.94;   9.47; 0.419;F5
   694; 8.95;   2.30; 0.435;F2
   695; 6.41;   2.17; 0.998;G3II
   696; 6.11;   2.42; 1.664;M0/M1IIICNp
   697; 7.76;   8.84; 0.415;F2
   698; 7.38;   2.89; 1.326;K3III
   699; 6.21;  30.26; 0.504;F8IV
   700; 7.05;   5.97; 0.963;G5
   701; 7.44;   6.36;-0.006;A0
   702; 8.50;   5.07; 0.406;F2III/IV
   704; 7.84;   5.19; 1.125;K0
   703;11.01;  -2.92; 1.500;
   706; 7.88;   5.03; 0.473;F3V
   707; 9.10;   3.19; 1.113;K0III
   708; 8.65;   6.86; 0.471;F3V
   705; 8.41;  16.24; 0.588;G2V
   709; 7.81;   8.58; 0.481;F5IV
   710; 7.43;  11.61; 0.296;F0
   711; 8.76;   0.97; 0.965;G5
   712; 7.58;   4.72; 0.994;G5
   713; 9.55;   4.78; 0.473;F5V
   714; 6.82;   3.19; 1.568;K5
   715;10.24;   1.80; 0.460;F0
   716; 6.24;   7.78; 0.976;K0III
   717; 7.31;   1.36; 1.430;K2
   718;10.52;   3.40; 0.510;F5
   719; 9.27;   0.25; 1.146;K1III
   720; 7.13;   3.16; 1.640;M2III
   721; 9.14;   2.60; 1.053;K1III
   722; 8.48;  12.89; 0.537;G0
   723; 8.57;  31.34; 0.885;G5
   724; 7.21;   7.86; 1.087;K0III
   725; 9.05;   1.01; 1.640;K5
   726; 7.72;  18.22; 0.620;G0V
   727; 8.03;   7.70; 0.364;A3
   728; 6.47;   8.65; 0.242;A4Vm
   729; 5.57;  11.17; 1.043;G9III
   730; 6.32;   7.00; 0.738;G4IV...
   732; 7.78;   6.49; 0.417;F3IV/V
   731;11.65;  22.50; 1.260;M1
   733; 8.58;  10.46; 0.714;G5
   734;10.37;   3.89; 0.432;F2
   735; 9.23;   6.32; 0.383;F5
   736; 9.20;   8.35; 0.811;G8V
   737; 6.93;  16.09; 0.800;G5
   738;11.73;  42.82; 1.493;
   739; 9.32;   4.32; 0.549;F6V
   740; 7.11;   8.73; 0.476;F5
   741; 9.79;   0.11; 1.010;K1
   742; 8.21;   2.98; 1.339;K3III
   743; 8.42;   1.37; 1.400;K1
   744; 7.05;   3.15;-0.122;B5V
   745; 9.26;   6.75; 0.671;G3V
   746; 2.28;  59.89; 0.380;F2III-IV
   747; 8.77;   4.80; 0.461;G5
   748; 9.25;   5.87; 0.537;G0
   749; 9.30;   4.36; 0.972;K2III
   750;10.63;  12.20; 0.525;
   751; 9.90;   4.56; 0.561;F8
   752; 9.89;   6.48; 0.617;F8
   753; 9.33;  17.75; 0.812;G0
   754; 7.78;  22.07; 0.680;G0
   755; 7.02;  17.03; 0.932;K0
   756;11.26;   5.08;      ;
   757; 8.89;   1.97; 1.033;G8III
   758; 9.60;   7.75; 0.446;F6V
   759; 7.07;  19.28; 0.644;G2III
   760; 6.01;   8.56; 0.203;A7IV
   761; 5.42;  14.57; 0.414;F3V
   762; 9.11;  11.89; 0.830;G8/K0V
   763; 8.24;   1.42; 0.080;B5V
   764; 8.97;   6.32; 0.442;F0
   765; 3.88;  23.28; 1.013;K0III
   766; 8.59;   7.58; 0.484;F5
   767; 7.17;   4.96; 0.031;B9
   768; 7.94;  13.80; 0.660;G3V
   769; 7.27;   4.21; 1.220;G5
   770; 9.59;   1.88; 0.490;G0
   771; 7.94;   2.08; 1.439;K0
   772; 8.52;  16.26; 0.687;G3V
   773; 7.59;   5.36; 1.005;G8IV
   774; 9.17;   1.78; 1.029;K1III
   775; 8.08;   4.57; 1.068;K1III
   776; 9.80;   3.03; 0.524;F5/F6V
   777; 8.92;   8.17; 0.499;F5V
   778; 9.91;   4.45; 0.355;F0V
   779; 9.42;   4.76; 1.565;M1Ibpev comp
   780; 8.84;   2.91; 1.128;K0
   781;10.15;   1.40; 1.500;M3e-M8e
   782; 8.37;   3.25; 0.952;G8III
   783; 9.33;  -0.54; 1.630;K2/K3
   784; 9.35;   0.55; 0.075;B8
   785; 7.40;   4.31; 1.571;M2III
   786; 8.35;   6.90; 0.437;F3/F5V
   787; 9.53;  23.86; 0.965;K1/K2V
   788; 9.59;   6.24; 0.469;F5
   789;10.05;   0.16; 0.486;F8
   791; 8.57;  13.92; 0.644;G3V
   790; 8.48;   5.62; 0.560;G0
   792; 8.43;  12.54; 0.906;G5
   793; 8.45;   3.57; 0.955;G5
   794; 8.84;  17.08; 0.833;K1V
   796;11.18;   1.31;      ;
   795; 8.64;  14.21; 0.716;G5
   797; 8.42;   4.58; 0.410;F5
   798; 6.34;   7.37; 0.164;A6V
   800; 7.93;   2.27; 1.301;K0
   799; 8.36;   5.18; 1.072;K0
   801; 8.32;  18.80; 0.595;G2/G3V
   802; 7.77;   1.52; 1.219;G5
   803; 6.84;   2.68; 1.611;K2
   804; 8.78;   8.36; 1.011;K1IV/V
   805; 7.19;   4.44; 0.974;K1II
   806; 8.50;   1.70; 1.166;K5
   807; 8.82;   5.80; 0.620;F8
   808; 9.04;   7.14; 0.542;G5
   809; 7.93;   4.37; 0.964;K0III
   810; 7.66;   6.14; 0.139;A2V
   811;10.07;  -0.35;      ;Gp...
   812; 9.03;   1.27; 1.014;K0
   813; 5.54;  10.04;-0.064;B9V
   814; 5.29;  13.45; 1.049;K1/K2III
   815; 8.13;   9.63; 0.456;F3V
   817; 7.51;   7.21; 0.251;A3+...
   816; 9.08;   1.56; 1.031;G8III/IV
   818; 7.10;  10.24; 0.345;F0
   819; 7.88;  11.15; 0.476;F5V
   820; 9.40;   1.08; 0.539;F8
   821; 9.06;   4.59; 0.293;A0
   822; 8.38;   7.73; 0.371;F5
   823;10.65;  10.83; 1.077;K8
   824; 7.77;   3.13; 1.603;M...
   825; 8.50;   4.15; 1.042;K0
   826; 8.61;   3.05; 1.156;G5
   827;10.05;   6.95; 0.700;G0
   828; 8.71;   3.60; 0.594;F0
   830; 9.37;   4.95; 0.409;F0V
   829; 6.97;   3.21; 1.377;K3III
   831; 8.56;   8.50; 0.524;F5V
   832; 9.34;  -2.57; 0.815;G8V
   833; 9.47;   6.10; 0.526;F7V
   834; 8.11;   4.74; 1.032;K0
   835; 8.91;   3.93; 0.356;F0III
   836; 7.83;   1.12; 1.311;G8III
   837; 8.95;   2.74; 1.104;K0
   838; 7.20;   2.98;-0.053;B9
   839; 9.37;   5.26; 0.411;F2/F3V
   840; 5.84;  18.18; 0.973;K1III
   841; 5.01;   3.24; 0.405;F2II
   842; 9.81;   3.85; 0.437;F3V
   843; 9.27;   2.76; 1.120;K0
   844; 9.50;   7.14; 0.423;F3/F5V
   845; 9.32;   4.82; 0.511;F5V
   846; 8.92;  13.53; 0.578;G2V
   847; 8.38;  10.15; 0.508;F7V
   848; 7.74;  10.35; 0.473;A
   849; 8.60;   3.27; 1.042;K0
   850; 9.49;   4.92; 1.232;K2III:
   851; 8.35;   6.17; 0.528;F7V
   852; 7.11;   3.65; 1.528;M4III:
   853; 9.87;   4.11; 0.503;F2V
   854; 8.98;   7.48; 0.471;G0
   855; 7.75;   1.83; 1.487;K0
   856; 8.24;  12.91; 0.491;F6V
   857; 6.74;   6.52;-0.074;B7IV
   858; 6.83;   4.74; 1.429;K4III
   859; 7.70;   7.10; 0.144;A0
   860; 6.70;   1.66;-0.017;B1V
   861; 8.67;   3.45; 1.037;K0III
   862; 9.94;  13.51;      ;G8V
   863; 8.73;   5.51; 0.563;F7IV
   864; 9.63;   0.66; 1.462;M0
   865; 6.66;  15.06; 0.372;F3/F5IV+...
   866; 8.29;   5.16; 0.077;A0
   867; 8.47;  15.57; 0.574;G5
   868; 8.16;   2.91; 1.165;K2
   869; 8.97;   8.77; 0.497;F5
   870; 7.51;  18.20; 0.503;F8
   871; 8.97;   1.74; 0.674;B7IIIe+K3III
   872; 8.55;   4.38; 0.692;G3V
   873; 5.84;  15.35; 1.000;K0III
   874; 7.85;   3.75; 0.099;B9
   875; 8.68;   7.95; 0.588;G2V
   877; 8.05;   4.86; 0.878;G5
   876; 8.27;   1.62; 0.146;B7V
   878; 7.68;   3.48; 1.028;K0III
   879; 9.40;   9.43; 0.551;F5IV
   880; 7.77;   8.80; 0.405;F2
   881; 6.89;   4.70; 0.951;K0III
   882; 7.55;   2.46; 1.354;M...
   883; 8.27;   7.77; 0.517;F6IV/V
   884; 8.16;   2.91; 1.677;K5
   885; 8.07;   2.95;-0.015;B9
   886; 7.91;   4.00; 0.024;A0
   887; 7.71;   2.25; 1.253;K1/K2III
   888;10.16;   4.41; 0.689;G2
   889; 8.41;  16.45; 0.575;G5
   891; 8.88;   1.02; 1.169;K1III
   890; 9.64;   1.44; 0.560;B5
   892; 7.93;   3.61; 1.096;K2
   893; 7.78;   4.53; 1.302;M3III
   894; 8.90;   6.25; 0.500;F5
   895; 8.55;  12.60; 0.435;F5V
   896; 9.15;   9.37; 0.477;F8
   897;10.86;  39.19; 1.418;M2
   898;11.55;  24.32; 1.395;M2V:
   899; 9.08;   0.90; 1.076;G5
   900; 7.44;   3.61; 0.998;G5
   901;10.35;  -0.33; 1.269;M0
   902; 6.68;   4.43; 1.212;K1III
   903; 8.85;   4.41; 0.585;F8/G0V
   904; 8.90;   8.36; 0.473;F8
   905; 8.24;   7.22; 0.184;A2
   906; 6.74;   3.88; 1.025;G5
   907;10.75;   4.01; 0.863;K0
   908; 8.44;   2.61; 1.330;K0
   909; 7.69;   4.21; 1.163;K2
   910; 4.89;  52.94; 0.487;F5V
   911;11.80;   6.13; 0.570;F4
   912; 8.88;   4.78; 1.140;K2III
   913; 7.70;   5.09; 1.200;K0III/IV
   914; 8.60;  15.08; 0.700;G6V
   915; 8.44;   1.58; 0.127;A3V
   916; 9.50;  35.69; 1.254;K7
   917; 9.03;   0.82; 1.406;K0
   918; 7.15;   6.06; 1.004;K0
   919; 7.95;  29.35; 0.755;K0V
   920; 8.23;  18.60; 0.581;G0
   921; 9.81;   4.63; 0.515;G0
   922; 8.48;  11.58; 0.473;F3V
   923; 9.33;   3.47; 0.940;K0
   924; 8.97;  20.86; 0.807;G6/G8V
   925; 8.08;   2.54; 1.122;K2
   926; 7.47;   2.26; 1.532;K0
   927; 8.34;   4.31; 0.409;F3V
   928; 7.75;   4.71; 1.152;K2III
   929; 8.34;  17.00; 0.619;G4V
   930; 5.41;   5.61; 1.346;K2III
   931; 7.56;   9.91; 0.551;F8...
   932; 6.93;   7.77; 0.994;K0III
   933;10.03;  21.87; 1.293;K2
   935; 8.69;   6.73; 0.185;A0
   934; 9.04;  27.46; 0.891;K1V
   936; 8.32;   4.04; 1.120;K2
   937; 7.85;   7.57; 0.561;F7V
   938; 7.21;   4.78; 0.916;G8III
   939; 8.98;   3.36; 0.966;K0IV
   940; 7.09;   2.16; 0.137;B5II: SB
   941; 8.85;   8.01; 0.518;F6V
   942; 9.21;   0.53; 0.142;A0V
   943; 8.61;  20.55; 0.643;G0
   944; 7.91;   7.11; 1.126;K0p...
   945; 7.47;   2.14; 0.200;B8
   946; 8.65;   5.08; 1.000;K0
   947; 8.53;   6.88; 0.515;F5
   948; 9.92;  29.15; 1.071;K5V
   949; 8.09;   4.25; 0.228;B9
   950; 5.24;  45.85; 0.459;F3/F5V
   951; 7.06;   1.15; 0.630;F5Ib-II
   952; 8.45;  10.91; 0.481;F5V
   953; 8.73;   9.29; 0.646;G3/G5V
   954; 7.45;   7.81; 0.891;G5
   955; 9.02;  16.48; 0.599;G3V
   956; 7.51;  12.79; 0.491;F5
   957; 7.32;   1.99; 0.038;A0
   958; 8.17;   1.34; 1.140;K0III
   959; 9.45;   4.21; 0.260;A0
   960; 9.72;   9.92; 0.557;G1V
   961; 9.34;  10.46; 0.695;G5V
   962; 8.75;   4.77; 1.125;G5
   963; 9.32;   3.89; 0.625;G3V
   964; 7.91;  10.93; 0.392;F2V
   965; 7.49;   2.05; 1.600;K4III
   966; 6.53;   7.97; 1.041;K0III
   967; 6.18;   5.93; 1.467;K4III
   968; 8.69;   2.85; 0.403;F0
   969; 6.58;   6.88; 0.990;K0III
   970; 7.80;   0.15; 1.634;M1III
   971; 7.19;  10.90; 0.398;F0
   972; 8.17;   3.49; 1.048;K0
   973; 6.56;   6.05; 1.074;K0III
   974; 8.73;  38.88; 1.045;K0
   975; 7.62;  17.21; 0.758;G5IV/V
   976; 8.66;  10.57; 0.430;F5
   979; 8.68;   0.00; 1.290;K2III
   978; 8.20;   2.97; 1.269;K0
   977; 8.96;   3.11; 1.243;K0
   980; 7.36;   6.68; 1.082;K0
   981; 6.87;   9.42; 0.262;F0
   982; 7.60;   3.46; 1.314;K0
   983; 5.29;   5.33; 1.478;K4III
   984; 9.12;   4.88; 0.479;F8
   985; 8.25;   9.81; 0.448;F5V
   986; 7.43;  10.44; 0.335;F0
   987; 8.88;   1.79; 1.047;K0III/IV
   988; 7.95;  -0.41; 1.537;M...
   989; 7.69;   2.89; 1.709;M...
   990; 8.94;   4.70; 1.151;K2III
   991;10.58;   8.64; 0.600;G0
   992;10.05;   9.10; 0.643;G3/G5V
   993; 8.88;   2.01; 0.934;G5
   994; 9.00;   5.47; 0.415;F3V
   995; 8.24;   3.99; 1.583;K5
   996; 8.18;  19.39; 0.669;G5
   997; 9.91;   2.90; 0.521;F6V
   998; 8.88;   1.76; 0.022;A0
   999; 8.44;  24.69; 0.739;K0
  1000; 8.73;  15.32; 0.707;K0V+...
  1001; 9.12;   4.61; 0.471;F3V
  1002; 9.23;   5.62; 0.995;K0III
  1003; 8.66;  21.09; 0.743;G8/K0V
  1004; 8.88;   4.78; 0.352;F0
  1005; 8.14;   5.39; 0.364;F0V
  1006;11.67;  34.54; 1.480;
  1008; 7.44;   0.07; 1.522;K0
  1007; 7.22;   1.73; 0.054;B9.5IV
  1009; 6.50;   6.30; 1.112;K0
  1010;10.07;   2.07; 0.724;G2
  1011; 7.01;   5.28; 1.106;K0
  1012; 8.15;   5.91; 0.029;A1V
  1013; 7.95;  15.34; 0.945;K1IV
  1014; 8.18;   1.12; 1.363;K0
  1015;10.72;   4.48; 0.565;F8
  1016; 9.56;   7.06; 0.659;F8V
  1017; 8.51;   4.18; 0.873;G6III
  1018; 7.22;   4.68; 1.051;K0
  1019; 7.53;   4.24; 0.980;K0III
  1020; 9.27;   8.04; 0.790;G5
  1021;10.78;   3.81; 0.650;
  1022; 9.85;  15.90; 0.939;K0
  1023; 7.34;   2.37; 1.639;K2
  1024; 9.55;   4.23; 0.353;A5
  1025; 8.19;   2.79; 1.345;K0
  1026; 6.63;  18.06; 0.402;F2
  1027; 8.63;   4.71; 1.100;K0
  1028; 8.80;   6.35; 0.725;G3/G5V
  1029; 9.86;   5.72; 0.601;F7/F8V
  1030; 6.71;   1.21;-0.116;B2V
  1031; 7.22;  49.18; 0.775;K0V
  1032; 8.49;   1.97; 1.630;K5III
  1033; 7.37;   2.47; 1.619;M...
  1034;10.51;   5.93; 0.570;G0
  1035; 8.84;   4.68; 0.426;F5
  1036;10.54;   0.03; 0.820;
  1037; 8.39;   2.51; 1.223;K0
  1038; 8.19;   7.41; 0.407;F0
  1039; 7.94;   0.92; 0.501;A9Iab:
  1040; 8.62;   5.43; 0.505;F8
  1041;10.59;  -4.40;      ;WC8
  1042; 7.80;   2.95; 1.099;F2V
  1043; 7.17;   8.09; 0.202;A2
  1044;10.74;  27.50; 1.308;K5
  1045;10.10;   5.52; 0.584;F8
  1046; 6.66;   6.07; 0.961;G8/K0III
  1047; 9.94;   5.79; 0.626;G0V
  1048; 7.69;   5.76; 0.958;G5
  1049; 7.62;   4.70; 1.217;K0
  1050;11.44;   1.56; 1.200;M0V:
  1051; 8.75;  11.11; 0.401;F5
  1053; 7.58;   6.40; 1.097;K0
  1052; 9.02;   9.18; 0.489;F5
  1054; 9.03;   3.85; 1.263;K2III
  1055;10.41;  24.96; 1.360;M0
  1057; 6.52;   7.17; 1.050;K1III
  1056; 8.17;  -0.86; 0.899;G8III
  1058; 7.57;  14.72; 0.453;F5IV
  1059;10.01;   2.43; 0.856;G0
  1060;10.68;   5.84; 0.689;G2
  1061; 8.39;   3.67; 1.050;G5
  1062; 8.05;   1.79; 1.165;K2
  1063; 6.63;   8.55; 0.226;Am...
  1064; 9.17;   5.06; 1.005;K0
  1065; 7.55;   5.66; 1.240;K1/K2III
  1066; 7.21;   3.38; 1.530;K3/K4III
  1067; 2.83;   9.79;-0.190;B2IV
  1068;12.49;  37.30; 1.400;M6
  1069; 7.44;   5.17; 1.279;K1/K2III
  1070; 8.83;   4.39; 1.136;K0
  1071; 7.98;  11.12; 0.396;F2V
  1072; 7.45;  10.64; 0.480;F5IV/V
  1073; 7.72;  10.64; 0.333;F0
  1074; 5.78;   4.00; 1.710;M0/M1III
  1075; 7.32;   3.60; 0.061;A0
  1076; 6.24;   8.08; 0.680;G0III
  1077;10.24;   0.12; 0.570;B2.5V
  1078; 9.86;  28.30; 1.190;K7
  1079; 8.72;   3.88; 1.037;K2III
  1080;10.88;   1.80; 0.390;
  1081; 8.44;   2.49; 1.079;K0III
  1082;10.68;   1.92; 0.738;
  1083;10.77;  36.74; 1.444;
  1084; 8.84;   4.32; 1.202;K2III
  1085; 9.05;  30.00; 0.913;K1V
  1086; 5.71;  28.57; 0.331;F0IV
  1087; 9.58;   1.79; 1.000;K2
  1088; 8.58;   4.09; 0.178;A5IV
  1089; 8.20;   4.67; 0.083;A0
  1090; 7.98;   7.03; 0.214;A2
  1091; 9.22;   2.87; 0.993;K0III
  1092;11.14;  51.12; 1.556;M0
  1093; 7.26;   4.88; 1.257;K0
  1094;10.96;  11.12; 0.952;
  1095; 8.65;   5.97; 0.442;F2
  1096; 5.94;   3.22; 1.548;K5III
  1097; 8.99;   4.25; 1.134;K0III
  1098; 8.08;   7.52; 1.055;G5
  1099; 6.14;   4.23; 1.490;K4III
  1100; 8.59;   4.06; 0.097;A0
  1101; 6.97;   9.78; 0.180;A5IV
  1102; 6.86;   6.48; 1.096;K1IIICNIV
  1103; 7.41;  13.08; 0.440;F2
  1104; 8.73;   1.46;-0.117;B3
  1105; 8.07;   9.34; 0.559;G0
  1106; 8.54;   2.50; 1.310;K2III
  1107; 6.79;   2.79; 1.257;K0
  1108; 8.96;   8.59; 0.465;F0
  1109; 9.08;   1.55; 1.155;K0
  1110; 9.48;   1.40; 1.580;M2
  1112; 8.90;   1.09; 1.633;K5
  1111; 9.09;   6.24; 0.631;G5V
  1113; 8.76;  22.86; 0.743;G6V
  1114; 7.15;  14.45; 0.513;F6V
  1115; 7.39;   3.24;-0.165;B4V
  1116; 8.93;  10.74; 0.628;G1V
  1117; 8.74;  -0.03; 1.297;K0
  1118; 6.91;   3.11; 1.120;G8II
  1119; 9.42;  24.14; 0.962;K0
  1120; 7.41;   4.28; 0.947;G6III
  1121; 9.22;   6.69; 0.523;G0
  1122; 8.79;   0.45; 0.115;A0
  1123; 6.22;  11.13; 0.009;A1V
  1124; 7.17;   3.49; 1.626;M4III:
  1125; 8.40;   5.52; 0.398;F4V
  1127; 8.60;   3.20; 0.416;A5
  1126; 6.97;   2.40; 1.341;K2III
  1129;10.11;   7.21;      ;G8III:
  1128; 8.36;  23.68; 0.645;G5
  1130; 9.23;   2.66; 1.120;K0
  1131; 8.25;   1.26; 1.735;M2
  1132; 7.70;   3.42; 0.661;A0
  1133; 7.00;   9.36; 0.534;F7IV
  1134; 7.32;  21.66; 0.521;F5
  1135; 8.60;   3.59; 1.070;G5
  1136;10.25;   5.70; 0.450;F5
  1137; 8.08;  13.44; 0.461;F5V
  1138; 7.84;   0.69; 1.195;G8III
  1139; 7.70;   4.17; 1.468;K2
  1140; 6.66;  21.62; 0.462;F5IV/V
  1141; 7.99;   3.00; 1.145;K0
  1142; 8.20;   4.10; 0.214;A7IV
  1143; 7.84;   4.39; 0.035;A0
  1144; 7.42;  20.23; 0.640;G5V
  1145;10.20;   2.39; 0.794;G5
  1146; 6.63;   2.53; 1.697;M1III
  1147; 6.89;  18.19; 0.502;F7V
  1148; 8.51;  22.51; 0.730;G8III
  1149; 9.00;   1.72; 0.356;A5
  1151; 9.42;  11.19; 0.831;K0/K1VCN...
  1150; 7.72;   2.65; 1.029;G5
  1152; 8.17;   7.15; 0.563;F8V
  1153; 7.19;   3.74; 1.340;K0
  1154; 8.93;   7.55; 0.618;G1/G2V
  1155; 8.08;   3.32; 1.251;K2III
  1156; 8.23;  10.93; 0.475;F2
  1157; 8.31;   2.65;-0.015;B8
  1158; 5.13;   5.21; 1.601;M3IIIvar
  1159;10.17;   2.69; 0.472;F3IV/V
  1160; 9.54;   0.50; 1.071;K2
  1161; 6.95;  12.17; 0.494;F5V
  1162; 9.17;   0.10; 0.984;F8Iab:
  1163; 8.85;   4.21; 1.010;G8/K0III
  1164; 6.68;   4.48; 1.172;K0
  1165; 8.77;   1.39; 1.534;M1III
  1166; 9.49;   8.31; 0.476;F6V
  1167; 8.27;   1.62; 0.200;A0
  1168; 4.79;  10.01; 1.572;M2III
  1169; 7.03;  11.81; 0.461;F5
